Study_word,Test_Fragment,Old_new
Apple,A_p_e,Old
Chair,Ch_i_,Old
Cloud,Cl_u_,Old
Banana,B_a_a,Old
Garden,G_r_en,Old
Window,W_n_o_,Old
Purple,P_rp_e,Old
Dragon,D_a_on,Old
Turtle,T_r_le,Old
Rocket,R_ck_t,Old
Spider,S_i_er,Old
Coffee,C_f_e_,Old
Guitar,G_it_r,Old
Summer ,S_m_e_,Old
Circle,C_rcl_,Old
Table,T_b_e,New
Ocean,O_ea_,New
Carrot,C_rr_t,New
Flower,F_ow_r,New
River,R_ve_,New
